Stimulus	Visual Intake Position X [px]	Visual Intake Position Y [px]	AOI Name
Block1	566.0	362.5	MAP
Block1	712.0	372.5	MAP
Block1	761.0	362.5	MAP
Block1	734.0	362.5	MAP
Block1	740.0	360.5	MAP
Block1	322.0	380.5	MAP
Block1	511.0	419.5	MAP
Block1	710.0	397.5	MAP
Block1	672.0	467.5	MAP
Block1	619.0	476.5	MAP
Block1	427.0	626.5	MAP
Block1	510.0	637.5	MAP
Block1	651.0	525.5	MAP
Block1	663.0	446.5	MAP
Block1	732.0	396.5	MAP
Block1	655.0	453.5	MAP
Block1	648.0	435.5	MAP
Block1	717.0	423.5	MAP
Block1	687.0	430.5	MAP
Block1	640.0	445.5	MAP
Block1	596.0	569.5	MAP
Block1	615.0	640.5	MAP
Block1	523.0	637.5	MAP
Block1	518.0	671.5	MAP
Block1	383.0	656.5	MAP
Block1	401.0	635.5	MAP
Block1	379.0	635.5	MAP
Block1	720.0	383.5	MAP
Block1	752.0	366.5	MAP
Block1	374.0	632.5	MAP
Block1	732.0	361.5	MAP
Block1	391.0	636.5	MAP
Block1	358.0	643.5	MAP
Block1	384.0	635.5	MAP
Block1	312.0	223.5	MAP
Block1	748.0	363.5	MAP
Block1	370.0	678.5	MAP
Block1	391.0	647.5	MAP
Block1	738.0	360.5	MAP
Block1	725.0	367.5	MAP
Block1	378.0	636.5	MAP
Block1	362.0	658.5	MAP
Block1	387.0	642.5	MAP
Block1	376.0	637.5	MAP
Block1	723.0	373.5	MAP
Block1	756.0	368.5	MAP
Block1	400.0	634.5	MAP
Block1	384.0	646.5	MAP
Block1	464.0	637.5	MAP
Block1	617.0	619.5	MAP
Block1	600.0	634.5	MAP
Block1	514.0	643.5	MAP
Block1	403.0	644.5	MAP
Block1	631.0	626.5	MAP
Block1	663.0	386.5	MAP
Block1	655.0	412.5	MAP
Block1	724.0	419.5	MAP
Block1	509.0	556.5	MAP
Block1	457.0	590.5	MAP
Block1	410.0	601.5	MAP
Block1	407.0	627.5	MAP
Block1	384.0	652.5	MAP
Block1	480.0	643.5	MAP
Block1	427.0	606.5	MAP
Block1	471.0	550.5	MAP
Block1	586.0	560.5	MAP
Block1	451.0	571.5	MAP
Block1	621.0	425.5	MAP
Block1	626.0	451.5	MAP
Block1	712.0	376.5	MAP
Block1	733.0	405.5	MAP
Block1	711.0	405.5	MAP
Block1	735.0	370.5	MAP
Block1	708.0	345.5	MAP
Block1	730.0	302.5	MAP
Block1	702.0	362.5	MAP
Block1	738.0	361.5	MAP
Block1	746.0	318.5	MAP
Block1	691.0	469.5	MAP
Block1	684.0	404.5	MAP
Block1	655.0	590.5	MAP
Block1	654.0	636.5	MAP
Block1	662.0	486.5	MAP
Block1	564.0	300.5	MAP
Block1	690.0	327.5	MAP
Block1	695.0	370.5	MAP
Block1	615.0	449.5	MAP
Block1	618.0	540.5	MAP
Block1	672.0	374.5	MAP
Block1	769.0	373.5	MAP
Block1	696.0	383.5	MAP
Block1	684.0	482.5	MAP
Block1	601.0	391.5	MAP
Block1	588.0	561.5	MAP
